Timestamp,M_F_1,M_F_2,M_F_3,M_F_4,M_F_5,M_F_6,M_F_7,M_F_8,U_F_1,U_F_2,U_F_3,U_F_4,U_F_5,U_F_6,U_F_7,U_F_8,M_C_1,M_C_2,M_C_3,M_C_4,M_C_5,M_C_6,M_C_7,M_C_8,U_C_1,U_C_2,U_C_3,U_C_4,U_C_5,U_C_6,U_C_7,U_C_8
"2025-02-25 11:22:57,347",147,166,136,137,165,136,179,161,1000,1000,1000,1000,1000,132,1000,1000,,,,,,,,,,,,,,,,
"2025-02-25 11:22:59,331",ADC,GAIN,VALUE,=,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-02-25 11:23:01,340",CAPA,THRESHOLD,=,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-02-25 11:23:04,786",1613,1640,1651,1622,1655,1620,1656,1626,3299,3299,3299,3299,3299,1611,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:04,810",1612,1639,1644,1622,1654,1619,1656,1625,3299,3299,3299,3299,3299,1608,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:04,834",1613,1641,1650,1624,1653,1620,1652,1624,3299,3299,3299,3299,3299,1608,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:04,847",1614,1643,1652,1624,1654,1622,1657,1625,3299,3299,3299,3299,3299,1610,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:04,871",1612,1642,1646,1622,1650,1621,1656,1625,3299,3299,3299,3299,3299,1611,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:04,891",1612,1642,1649,1623,1653,1620,1658,1624,3299,3299,3299,3299,3299,1611,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:04,909",1613,1641,1642,1623,1654,1621,1658,1624,3299,3299,3299,3299,3299,1610,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:04,927",1613,1642,1650,1624,1653,1620,1657,1624,3299,3299,3299,3299,3299,1611,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:04,948",1612,1643,1649,1623,1652,1622,1651,1624,3299,3299,3299,3299,3299,1610,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:04,967",1613,1643,1646,1623,1653,1621,1654,1625,3299,3299,3299,3299,3299,1610,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:04,989",1614,1641,1645,1622,1651,1618,1656,1624,3299,3299,3299,3299,3299,1613,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:05,010",1612,1642,1649,1622,1652,1620,1656,1625,3299,3299,3299,3299,3299,1607,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:05,028",1613,1642,1650,1624,1653,1621,1655,1625,3299,3299,3299,3299,3299,1612,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:05,056",1614,1643,1646,1625,1652,1620,1652,1623,3299,3299,3299,3299,3299,1610,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:05,069",1612,1641,1649,1623,1652,1619,1655,1626,3299,3299,3299,3299,3299,1612,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:05,085",1613,1642,1644,1623,1655,1620,1655,1625,3299,3299,3299,3299,3299,1611,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:05,105",1614,1642,1651,1623,1654,1620,1654,1624,3299,3299,3299,3299,3299,1610,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:05,127",1612,1641,1649,1623,1654,1621,1653,1624,3299,3299,3299,3299,3299,1610,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:05,149",1614,1640,1647,1624,1654,1621,1657,1626,3299,3299,3299,3299,3299,1611,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:05,165",1612,1641,1651,1623,1653,1620,1657,1625,3299,3299,3299,3299,3299,1609,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:05,188",1613,1644,1645,1623,1651,1620,1655,1624,3299,3299,3299,3299,3299,1611,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:05,206",1612,1642,1651,1624,1653,1621,1653,1626,3299,3299,3299,3299,3299,1610,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:05,231",1613,1641,1649,1624,1654,1619,1658,1624,3299,3299,3299,3299,3299,1611,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:05,246",1613,1643,1648,1623,1652,1618,1654,1623,3299,3299,3299,3299,3299,1609,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:05,270",1613,1642,1647,1624,1653,1620,1653,1625,3299,3299,3299,3299,3299,1611,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:05,289",1612,1641,1651,1623,1654,1620,1656,1625,3299,3299,3299,3299,3299,1609,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
