Timestamp,M_F_1,M_F_2,M_F_3,M_F_4,M_F_5,M_F_6,M_F_7,M_F_8,U_F_1,U_F_2,U_F_3,U_F_4,U_F_5,U_F_6,U_F_7,U_F_8,M_C_1,M_C_2,M_C_3,M_C_4,M_C_5,M_C_6,M_C_7,M_C_8,U_C_1,U_C_2,U_C_3,U_C_4,U_C_5,U_C_6,U_C_7,U_C_8
"2025-02-25 18:08:19,215",147,166,136,137,165,136,178,161,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,,,,,,,,,,,
"2025-02-25 18:08:21,219",ADC,GAIN,VALUE,=,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-02-25 18:08:23,229",CAPA,THRESHOLD,=,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-02-25 18:08:27,813",1603,1623,1638,1618,1639,1608,1667,1613,3299,3299,3299,3299,3299,3299,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 18:08:27,837",1607,1619,1637,1616,1641,1608,1664,1612,3299,3299,3299,3299,3299,3299,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 18:08:27,861",1607,1622,1642,1617,1640,1609,1668,1612,3299,3299,3299,3299,3299,3299,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 18:08:27,877",1607,1621,1639,1619,1637,1610,1669,1614,3299,3299,3299,3299,3299,3299,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 18:08:27,894",1607,1622,1640,1618,1637,1609,1669,1613,3299,3299,3299,3299,3299,3299,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 18:08:27,918",1607,1623,1638,1617,1641,1610,1666,1613,3299,3299,3299,3299,3299,3299,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 18:08:27,937",1608,1623,1639,1617,1639,1607,1669,1612,3299,3299,3299,3299,3299,3299,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 18:08:27,953",1607,1622,1642,1618,1636,1607,1666,1611,3299,3299,3299,3299,3299,3299,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 18:08:27,974",1605,1620,1640,1617,1637,1610,1663,1611,3299,3299,3299,3299,3299,3299,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 18:08:27,996",1606,1623,1640,1618,1639,1610,1670,1612,3299,3299,3299,3299,3299,3299,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 18:08:28,022",1608,1622,1644,1618,1634,1609,1665,1611,3299,3299,3299,3299,3299,3299,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 18:08:28,036",1607,1623,1640,1618,1638,1606,1664,1612,3299,3299,3299,3299,3299,3299,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 18:08:28,057",1605,1622,1641,1617,1640,1609,1664,1612,3299,3299,3299,3299,3299,3299,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 18:08:28,078",1606,1620,1638,1618,1639,1607,1667,1611,3299,3299,3299,3299,3299,3299,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 18:08:28,098",1607,1621,1641,1617,1639,1609,1668,1613,3299,3299,3299,3299,3299,3299,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 18:08:28,118",1606,1621,1641,1620,1636,1610,1665,1610,3299,3299,3299,3299,3299,3299,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 18:08:28,135",1605,1623,1639,1616,1639,1607,1664,1612,3299,3299,3299,3299,3299,3299,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 18:08:28,159",1605,1623,1639,1618,1637,1608,1667,1612,3299,3299,3299,3299,3299,3299,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 18:08:28,173",1606,1625,1641,1617,1641,1608,1666,1612,3299,3299,3299,3299,3299,3299,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 18:08:28,197",1607,1624,1639,1617,1638,1607,1665,1611,3299,3299,3299,3299,3299,3299,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 18:08:28,213",1606,1624,1638,1618,1640,1607,1670,1611,3299,3299,3299,3299,3299,3299,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 18:08:28,237",1607,1619,1638,1617,1642,1609,1664,1611,3299,3299,3299,3299,3299,3299,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 18:08:28,259",1607,1623,1640,1619,1641,1606,1670,1614,3299,3299,3299,3299,3299,3299,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 18:08:28,277",1606,1623,1639,1620,1637,1608,1664,1610,3299,3299,3299,3299,3299,3299,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 18:08:28,298",1608,1621,1639,1618,1638,1609,1666,1612,3299,3299,3299,3299,3299,3299,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 18:08:28,318",1606,1623,1639,1620,1640,1608,1668,1613,3299,3299,3299,3299,3299,3299,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 18:08:28,340",1606,1623,1638,1619,1638,1609,1668,1610,3299,3299,3299,3299,3299,3299,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 18:08:28,353",1607,1622,1640,1617,1636,1609,1665,1612,3299,3299,3299,3299,3299,3299,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 18:08:28,377",1605,1621,1641,1618,1640,1609,1669,1611,3299,3299,3299,3299,3299,3299,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 18:08:28,393",1607,1623,1638,1618,1639,1608,1669,1612,3299,3299,3299,3299,3299,3299,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 18:08:28,417",1608,1622,1639,1617,1638,1607,1667,1613,3299,3299,3299,3299,3299,3299,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 18:08:28,439",1607,1621,1640,1619,1640,1608,1665,1610,3299,3299,3299,3299,3299,3299,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
