Timestamp,M_F_1,M_F_2,M_F_3,M_F_4,M_F_5,M_F_6,M_F_7,M_F_8,U_F_1,U_F_2,U_F_3,U_F_4,U_F_5,U_F_6,U_F_7,U_F_8,M_C_1,M_C_2,M_C_3,M_C_4,M_C_5,M_C_6,M_C_7,M_C_8,U_C_1,U_C_2,U_C_3,U_C_4,U_C_5,U_C_6,U_C_7,U_C_8
"2025-02-25 11:23:41,557",147,166,136,137,165,136,179,161,1000,1000,1000,1000,1000,132,1000,1000,,,,,,,,,,,,,,,,
"2025-02-25 11:23:43,447",ADC,GAIN,VALUE,=,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-02-25 11:23:45,457",CAPA,THRESHOLD,=,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-02-25 11:23:49,067",1620,1645,1652,1620,1655,1625,1654,1624,3299,3299,3299,3299,3299,1610,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:49,088",1620,1643,1651,1622,1654,1625,1655,1625,3299,3299,3299,3299,3299,1608,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:49,113",1620,1645,1654,1625,1655,1625,1655,1626,3299,3299,3299,3299,3299,1613,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:49,130",1621,1645,1653,1623,1654,1626,1653,1626,3299,3299,3299,3299,3299,1611,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:49,153",1620,1643,1651,1623,1654,1627,1654,1624,3299,3299,3299,3299,3299,1610,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:49,173",1622,1649,1645,1624,1653,1624,1655,1626,3299,3299,3299,3299,3299,1608,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:49,194",1620,1644,1654,1624,1655,1626,1656,1624,3299,3299,3299,3299,3299,1612,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:49,208",1622,1643,1655,1624,1653,1627,1655,1627,3299,3299,3299,3299,3299,1611,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:49,229",1620,1646,1653,1624,1653,1627,1654,1624,3299,3299,3299,3299,3299,1611,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:49,252",1620,1646,1653,1623,1656,1628,1656,1626,3299,3299,3299,3299,3299,1610,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:49,272",1619,1645,1645,1623,1655,1625,1654,1625,3299,3299,3299,3299,3299,1610,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:49,288",1618,1646,1648,1624,1654,1626,1658,1626,3299,3299,3299,3299,3299,1613,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:49,310",1621,1648,1655,1626,1655,1628,1656,1625,3299,3299,3299,3299,3299,1608,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:49,332",1621,1643,1650,1622,1654,1628,1653,1625,3299,3299,3299,3299,3299,1612,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:49,348",1620,1644,1654,1623,1654,1627,1656,1626,3299,3299,3299,3299,3299,1611,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:49,368",1620,1644,1654,1623,1654,1628,1654,1625,3299,3299,3299,3299,3299,1609,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:49,390",1621,1645,1647,1624,1654,1626,1654,1626,3299,3299,3299,3299,3299,1612,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:49,415",1620,1644,1645,1623,1653,1624,1657,1624,3299,3299,3299,3299,3299,1612,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:49,427",1620,1645,1649,1622,1654,1626,1655,1626,3299,3299,3299,3299,3299,1612,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:49,454",1619,1646,1653,1623,1655,1626,1655,1627,3299,3299,3299,3299,3299,1611,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:49,473",1621,1646,1653,1624,1655,1626,1652,1624,3299,3299,3299,3299,3299,1611,3299,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-25 11:23:49,488",1620,1646,1653,1623,1655,1626,1655,1626,3299,3299,3299,3299,3299,1611,3299,3299,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2025-02-25 11:23:49,509",1620,1646,1644,1621,1654,1626,1652,1624,3299,3299,3299,3299,3299,1611,3299,3299,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2025-02-25 11:23:49,532",1621,1645,1652,1623,1654,1626,1656,1625,3299,3299,3299,3299,3299,1610,3299,3299,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2025-02-25 11:23:49,549",1619,1645,1653,1625,1654,1626,1657,1625,3299,3299,3299,3299,3299,1611,3299,3299,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2025-02-25 11:23:49,572",1621,1643,1644,1623,1656,1626,1654,1624,3299,3299,3299,3299,3299,1612,3299,3299,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2025-02-25 11:23:49,594",1620,1646,1652,1623,1654,1625,1654,1627,3299,3299,3299,3299,3299,1611,3299,3299,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2025-02-25 11:23:49,608",1619,1646,1652,1623,1653,1625,1654,1627,3299,3299,3299,3299,3299,1611,3299,3299,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
