Timestamp,M_F_1,M_F_2,M_F_3,M_F_4,M_F_5,M_F_6,M_F_7,M_F_8,U_F_1,U_F_2,U_F_3,U_F_4,U_F_5,U_F_6,U_F_7,U_F_8,M_C_1,M_C_2,M_C_3,M_C_4,M_C_5,M_C_6,M_C_7,M_C_8,U_C_1,U_C_2,U_C_3,U_C_4,U_C_5,U_C_6,U_C_7,U_C_8
"2025-02-20 18:58:51,991",147,167,137,137,165,136,180,161,1000,1000,1000,1000,1000,1000,1000,133,,,,,,,,,,,,,,,,
"2025-02-20 18:58:56,191",ADC,GAIN,VALUE,=,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-02-20 18:58:58,199",CAPA,THRESHOLD,=,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-02-20 18:59:01,459",1647,1648,1645,1647,1649,1648,1653,1648,3299,3299,3299,3299,3299,3299,3299,1634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-20 18:59:01,480",1647,1648,1645,1647,1649,1648,1653,1649,3299,3299,3299,3299,3299,3299,3299,1634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-20 18:59:01,499",1647,1647,1645,1646,1649,1649,1653,1649,3299,3299,3299,3299,3299,3299,3299,1635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-20 18:59:01,521",1646,1648,1645,1647,1649,1649,1653,1648,3299,3299,3299,3299,3299,3299,3299,1634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-20 18:59:01,546",1646,1648,1644,1647,1650,1649,1653,1649,3299,3299,3299,3299,3299,3299,3299,1634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-20 18:59:01,559",1647,1648,1645,1647,1649,1648,1653,1649,3299,3299,3299,3299,3299,3299,3299,1635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-02-20 18:59:01,578",1647,1647,1645,1646,1650,1649,1653,1648,3299,3299,3299,3299,3299,3299,3299,1634,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2025-02-20 18:59:01,599",1646,1647,1645,1647,1649,1649,1653,1649,3299,3299,3299,3299,3299,3299,3299,1634,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2025-02-20 18:59:01,620",1647,1648,1645,1647,1650,1649,1653,1648,3299,3299,3299,3299,3299,3299,3299,1635,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2025-02-20 18:59:01,648",1647,1648,1645,1647,1650,1648,1653,1648,3299,3299,3299,3299,3299,3299,3299,1634,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2025-02-20 18:59:01,661",1647,1648,1645,1647,1649,1648,1653,1648,3299,3299,3299,3299,3299,3299,3299,1635,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"2025-02-20 18:59:01,681",1647,1648,1645,1647,1649,1648,1653,1648,3299,3299,3299,3299,3299,3299,3299,1634,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"2025-02-20 18:59:01,699",1647,1648,1645,1647,1649,1648,1653,1648,3299,3299,3299,3299,3299,3299,3299,1635,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"2025-02-20 18:59:01,729",1647,1647,1645,1646,1650,1649,1653,1648,3299,3299,3299,3299,3299,3299,3299,1634,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"2025-02-20 18:59:01,747",1646,1648,1644,1647,1649,1649,1653,1648,3299,3299,3299,3299,3299,3299,3299,1634,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"2025-02-20 18:59:01,760",1647,1648,1644,1647,1649,1649,1653,1649,3299,3299,3299,3299,3299,3299,3299,1635,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"2025-02-20 18:59:01,779",1647,1648,1645,1647,1649,1648,1653,1648,3299,3299,3299,3299,3299,3299,3299,1635,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"2025-02-20 18:59:01,801",1646,1648,1645,1647,1650,1649,1654,1648,3299,3299,3299,3299,3299,3299,3299,1634,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"2025-02-20 18:59:01,821",1647,1648,1644,1647,1649,1649,1653,1649,3299,3299,3299,3299,3299,3299,3299,1635,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"2025-02-20 18:59:01,843",1646,1648,1645,1647,1649,1649,1653,1648,3299,3299,3299,3299,3299,3299,3299,1635,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"2025-02-20 18:59:01,866",1647,1647,1645,1646,1649,1649,1653,1649,3299,3299,3299,3299,3299,3299,3299,1634,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"2025-02-20 18:59:01,881",1647,1648,1644,1647,1649,1649,1653,1648,3299,3299,3299,3299,3299,3299,3299,1634,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"2025-02-20 18:59:01,899",1646,1647,1645,1646,1650,1649,1653,1648,3299,3299,3299,3299,3299,3299,3299,1634,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"2025-02-20 18:59:01,919",1647,1648,1646,1647,1650,1648,1653,1648,3299,3299,3299,3299,3299,3299,3299,1634,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"2025-02-20 18:59:01,940",1647,1647,1645,1646,1649,1649,1653,1648,3299,3299,3299,3299,3299,3299,3299,1634,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"2025-02-20 18:59:01,959",1646,1648,1645,1647,1649,1649,1653,1648,3299,3299,3299,3299,3299,3299,3299,1635,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"2025-02-20 18:59:01,979",1646,1647,1646,1646,1649,1649,1653,1648,3299,3299,3299,3299,3299,3299,3299,1634,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
"2025-02-20 18:59:01,998",1647,1648,1645,1647,1649,1649,1652,1649,3299,3299,3299,3299,3299,3299,3299,1634,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
"2025-02-20 18:59:02,025",1647,1647,1646,1645,1649,1649,1653,1648,3299,3299,3299,3299,3299,3299,3299,1635,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
"2025-02-20 18:59:02,041",1647,1648,1645,1647,1650,1649,1653,1649,3299,3299,3299,3299,3299,3299,3299,1635,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
"2025-02-20 18:59:02,064",1647,1647,1646,1646,1650,1649,1653,1648,3299,3299,3299,3299,3299,3299,3299,1635,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
"2025-02-20 18:59:02,082",1646,1648,1645,1647,1650,1649,1653,1648,3299,3299,3299,3299,3299,3299,3299,1635,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
"2025-02-20 18:59:02,102",1647,1648,1645,1647,1649,1648,1653,1649,3299,3299,3299,3299,3299,3299,3299,1635,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
"2025-02-20 18:59:02,121",1646,1648,1645,1647,1649,1649,1653,1648,3299,3299,3299,3299,3299,3299,3299,1635,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
"2025-02-20 18:59:02,143",1647,1647,1645,1646,1649,1649,1653,1648,3299,3299,3299,3299,3299,3299,3299,1635,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
"2025-02-20 18:59:02,158",1646,1647,1646,1646,1649,1649,1653,1648,3299,3299,3299,3299,3299,3299,3299,1634,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
"2025-02-20 18:59:02,178",1647,1647,1645,1646,1649,1649,1653,1648,3299,3299,3299,3299,3299,3299,3299,1634,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
"2025-02-20 18:59:02,199",1647,1647,1645,1646,1649,1649,1653,1648,3299,3299,3299,3299,3299,3299,3299,1635,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
"2025-02-20 18:59:02,219",1647,1648,1645,1647,1649,1648,1653,1649,3299,3299,3299,3299,3299,3299,3299,1635,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
"2025-02-20 18:59:02,239",1647,1648,1644,1647,1649,1649,1653,1649,3299,3299,3299,3299,3299,3299,3299,1635,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
"2025-02-20 18:59:02,259",1647,1647,1645,1646,1649,1649,1653,1648,3299,3299,3299,3299,3299,3299,3299,1634,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
"2025-02-20 18:59:02,278",1647,1647,1645,1646,1650,1649,1653,1648,3299,3299,3299,3299,3299,3299,3299,1635,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
"2025-02-20 18:59:02,298",1646,1648,1645,1647,1649,1649,1653,1648,3299,3299,3299,3299,3299,3299,3299,1634,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
"2025-02-20 18:59:02,325",1646,1648,1645,1647,1649,1649,1653,1649,3299,3299,3299,3299,3299,3299,3299,1634,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
"2025-02-20 18:59:02,346",1647,1647,1646,1646,1650,1649,1653,1648,3299,3299,3299,3299,3299,3299,3299,1634,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
"2025-02-20 18:59:02,358",1647,1648,1645,1647,1649,1648,1653,1648,3299,3299,3299,3299,3299,3299,3299,1635,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
"2025-02-20 18:59:02,380",1646,1648,1645,1647,1650,1649,1653,1649,3299,3299,3299,3299,3299,3299,3299,1634,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
"2025-02-20 18:59:02,401",1647,1647,1645,1646,1649,1649,1653,1648,3299,3299,3299,3299,3299,3299,3299,1634,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"2025-02-20 18:59:02,424",1646,1648,1645,1647,1650,1649,1653,1648,3299,3299,3299,3299,3299,3299,3299,1635,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"2025-02-20 18:59:02,442",1647,1647,1645,1646,1650,1649,1653,1648,3299,3299,3299,3299,3299,3299,3299,1634,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"2025-02-20 18:59:02,462",1646,1648,1645,1647,1650,1649,1653,1648,3299,3299,3299,3299,3299,3299,3299,1634,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"2025-02-20 18:59:02,480",1647,1647,1645,1646,1650,1649,1653,1648,3299,3299,3299,3299,3299,3299,3299,1635,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"2025-02-20 18:59:02,502",1647,1648,1645,1647,1649,1649,1653,1649,3299,3299,3299,3299,3299,3299,3299,1634,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"2025-02-20 18:59:02,524",1646,1648,1645,1647,1649,1649,1653,1648,3299,3299,3299,3299,3299,3299,3299,1634,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"2025-02-20 18:59:02,542",1647,1648,1645,1647,1649,1649,1653,1648,3299,3299,3299,3299,3299,3299,3299,1634,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"2025-02-20 18:59:02,562",1647,1648,1645,1647,1649,1649,1653,1648,3299,3299,3299,3299,3299,3299,3299,1634,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
